date,open,high,low,close,volume,sector
2005-02-25,16.6899,16.8233,16.6461,16.7815,688594.30566553,XLK
2005-02-25,17.0446,17.0722,16.9489,17.0584,592505.56034171,XLP
2005-02-25,28.788,28.9742,28.7422,28.9413,316974.05740993,XLY
2005-02-25,24.9153,25.189,24.9153,25.1543,545030.03331791,XLV
2005-02-25,24.2199,24.416,24.1296,24.4002,1623015.4073153,XLI
2005-02-25,24.2698,24.6233,24.2006,24.6145,1254981.4174352,XLB
2005-02-25,17.6488,17.9802,17.5879,17.9257,5789476.0,XLU
2005-02-25,29.382,30.1362,29.3146,29.9865,10059777.290281,XLE
2005-02-25,19.3473,19.5977,19.3473,19.5709,16816122.847239,XLF
2005-02-28,19.5323,19.5323,19.3404,19.3819,12348814.015659,XLF
2005-02-28,17.1531,17.1531,16.9943,17.0238,1349404.6250491,XLP
2005-02-28,16.7497,16.8989,16.674,16.7327,1006718.7196659,XLK
2005-02-28,28.9413,28.9742,28.6824,28.8238,537537.70849566,XLY
2005-02-28,30.2105,30.3778,28.7902,29.7714,13955424.068574,XLE
2005-02-28,25.2446,25.2446,24.6862,24.7765,948267.98791935,XLV
2005-02-28,24.3744,24.3913,24.1296,24.2585,254908.56748143,XLI
2005-02-28,17.9694,18.0049,17.7344,17.8026,3213987.0,XLU
2005-02-28,24.6055,24.6055,24.2224,24.3774,2761319.609895,XLB
2005-03-01,19.4977,19.6403,19.4325,19.5709,7659072.0545791,XLF
2005-03-01,17.1077,17.1984,17.0948,17.1619,600178.86616924,XLP
2005-03-01,16.8561,16.9685,16.8073,16.9347,711126.5813623,XLK
2005-03-01,24.5473,24.6055,24.332,24.411,2179421.4608192,XLB
2005-03-01,28.8238,29.1913,28.8238,29.1504,419443.07136796,XLY
2005-03-01,29.7009,29.8721,29.1531,29.1932,10990234.922165,XLE
2005-03-01,24.3744,24.3913,24.2287,24.3357,242816.68224126,XLI
2005-03-01,17.8337,17.9738,17.7719,17.8537,2415090.0,XLU
2005-03-01,24.9153,25.0323,24.9063,24.9768,475228.45607291,XLV
2005-03-02,17.0584,17.2191,17.0584,17.1165,560589.39440864,XLP
