date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,QQQ
2005-02-25,-1.0567900811852458,-1.0567900811852458,-1.0567900811852458,-1.0567900811852458,-1.0567900811852458,-1.0567900811852458,-1.3368950772348944,-1.0567900811852458,-1.3368950772348944,-1.3368950772348944,-1.0567900811852458,0.5636994814469865
2005-02-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.12984553924157488,0.0,-0.12984553924157488,-0.12984553924157488,0.0,-0.4410924488574782
2005-03-01,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,-0.12984553924157488,0.6604938007407787,-0.12984553924157488,-0.12984553924157488,0.6604938007407787,-0.15400904019905953
2005-03-02,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,-0.12984553924157488,0.3962962804444672,-0.12984553924157488,-0.12984553924157488,0.3962962804444672,-0.7281758575158969
2005-03-03,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,-0.12984553924157485,0.6604938007407787,-0.12984553924157485,-0.12984553924157485,0.6604938007407787,-0.4410924488574784
2005-03-04,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,-0.12984553924157488,0.6604938007407787,-0.12984553924157488,-0.12984553924157488,0.6604938007407787,-1.072675947905999
2005-03-07,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,-0.12984553924157488,0.3962962804444672,-0.12984553924157488,-0.12984553924157488,0.3962962804444672,-0.9578425844426315
2005-03-08,0.26419752029631144,0.26419752029631144,0.26419752029631144,0.26419752029631144,0.26419752029631144,0.26419752029631144,-0.12984553924157485,0.26419752029631144,-0.12984553924157485,-0.12984553924157485,0.26419752029631144,-0.3836757671257946
2005-03-09,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,0.3962962804444672,-0.12984553924157488,0.3962962804444672,-0.12984553924157488,-0.12984553924157488,0.3962962804444672,-0.7855925392475802
2005-03-10,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,0.6604938007407787,-0.12984553924157485,0.6604938007407787,-0.12984553924157485,-0.12984553924157485,0.6604938007407787,-0.498509130589162
