sector,mean_return_all,volatility_all,mean_return_expansion,volatility_expansion,mean_return_recession,volatility_recession
XLB,0.0007822487967836718,0.01537699567270519,0.004925342505007654,0.013689313315218433,-0.0016079975733455482,0.016035578003377415
XLC,0.004785366703672674,0.015445220668950014,0.006955741059710499,0.008587049639736815,-0.0011831627754313456,0.02833186907678501
XLE,0.002812537966920159,0.01770370055069688,0.013625489224997496,0.013705247395516493,-0.0034257031435090744,0.01690155207257134
XLF,0.003650871153313507,0.02022909967936747,0.008743132023609523,0.02118185220320856,0.0007130283435273435,0.019466788264707522
XLI,0.00013323475320756783,0.013680439494179169,0.0022884355912649403,0.01274030305529281,-0.0011101503456716856,0.01428830704330447
XLK,0.0016781772725815794,0.014152768286824671,0.005054046771836666,0.013333106819609373,-0.0002694397462194319,0.014496425416285758
XLP,0.001981448559168416,0.007515927805125907,0.00024894548775501827,0.007470161720583947,0.002980969561906914,0.0075028575983726335
XLRE,-8.632545878509635e-05,0.01996603988700351,0.0019751001358753687,0.01257335943982434,-0.003865605715662616,0.03054487950021989
XLU,0.0014734819784472813,0.013961849985500142,0.005590150669056408,0.010718105200667802,-0.0009015191892118302,0.015216018510213116
XLV,0.001563144326518693,0.01008203810403804,0.001590832437663181,0.00869002812260347,0.0015471704162430266,0.010970231203879927
XLY,0.003761192842576686,0.013579222089343528,0.006444599273160974,0.013287687961145789,0.002213073748008827,0.013760247441160469
